,title,time,Author,link
0,[問卷] 英語教學學術研究訪談對象招募,10/28,maysday,https://ptt.cc/bbs/studyteacher/M.1666965195.A.A6E.html
1,[國小] 2023祝福小卡,11/01,pinrannie,https://ptt.cc/bbs/studyteacher/M.1667260490.A.CED.html
2,[公告] ===============版規說明===============, 3/08,TinaJones,https://ptt.cc/bbs/studyteacher/M.1204989668.A.6F6.html
3,[公告] 徵/送課本.指引.書.教具 請按格式推文^.^, 6/24,TinaJones,https://ptt.cc/bbs/studyteacher/M.1372072992.A.A13.html
4,[公告] 版規說明--教甄獨招/代課/代理 訊息推文串, 8/17,TinaJones,https://ptt.cc/bbs/studyteacher/M.1250515869.A.F41.html
5,[公告] 精華區大整理!感謝小板ByronC+chuyen925!,11/12,TinaJones,https://ptt.cc/bbs/studyteacher/M.1541954749.A.602.html
6,[心得] 111國中公民上榜心得分享, 9/25,itslala,https://ptt.cc/bbs/studyteacher/M.1664110930.A.057.html
7,[心得] 111高中公民上榜心得分享, 9/25,crispycarrot,https://ptt.cc/bbs/studyteacher/M.1664121584.A.A43.html
8,Re: [申訴] 代理教師離職證明無成績優良申訴書範本, 9/26,nari900916,https://ptt.cc/bbs/studyteacher/M.1664205374.A.17F.html
9,[補習] 教育研究所補習班選擇, 9/27,daddyfavs,https://ptt.cc/bbs/studyteacher/M.1664289798.A.902.html
10,[新聞] 議員批彰化代理教師聘期跳票 王惠美：, 9/28,asdf1256,https://ptt.cc/bbs/studyteacher/M.1664377520.A.2CD.html
11,[新聞] 高雄市111年「教師甄選」護航疑雲, 9/30,doggo,https://ptt.cc/bbs/studyteacher/M.1664512717.A.86C.html
12,[新聞] 教官退出校園 改自然離退　明年大限取消, 9/30,kaosai,https://ptt.cc/bbs/studyteacher/M.1664527373.A.F39.html
13,Re: [新聞] 沒參加朝會被花蓮高中記警告 學生申訴不,10/01,ILzi,https://ptt.cc/bbs/studyteacher/M.1664608551.A.6AF.html
